NO. REGISTER || ENROLMENT || FATHER LASTNAME || MOTHER LASTNAME ||   NAME(S)   ||    AGE    ||    GENDER    ||    CURP
==========================================================================================================================
           1 ||    328183 ||            LOPEZ ||          MENDOZA || GUILLERMO ||     35 || FEMALE   || LOMG881011MTCPNL04
           2 ||    303849 ||        RODRIGUEZ ||           VARGAS ||     ELENA ||     55 || MALE       || ROVE680923HQTDRL02
           3 ||    313766 ||        RODRIGUEZ ||            LOPEZ ||   BEATRIZ ||     26 || MALE       || ROLB970720HZSDPT07
           4 ||    325625 ||           MORENO ||             DIAZ || FRANCISCO ||    126 || MALE       || MODF970809HVZRZR02
           5 ||    304845 ||          JIMENEZ ||        RODRIGUEZ ||    SERGIO ||     28 || MALE       || JIRS950525HCMMDR04
           6 ||    321047 ||             DIAZ ||            PEREZ ||  GABRIELA ||     54 || MALE       || DIPG690504HCSZRB05
           7 ||    301257 ||         GONZALEZ ||           MORENO ||      LUIS ||     70 || FEMALE   || GOML530615MMSNRS06
           8 ||    301929 ||        HERNANDEZ ||           GARCIA ||   BEATRIZ ||     12 || MALE       || HEGB111123HGTRRTB8
           9 ||    324160 ||         GONZALEZ ||            PEREZ ||    CARLOS ||     87 || MALE       || GOPC360121HTSNRR07
          10 ||    312378 ||           ROMERO ||           MORENO ||     LAURA ||     32 || FEMALE   || ROML910705MNEMRR05
          11 ||    326125 ||           TORRES ||         MARTINEZ ||    DANIEL ||     21 || FEMALE   || TOMD021008MDFRRNA0
          12 ||    320612 ||        RODRIGUEZ ||          RAMIREZ ||   BEATRIZ ||     92 || MALE       || RORB310819HOCDMT04
          13 ||    320929 ||           VARGAS ||        HERNANDEZ ||   BEATRIZ ||    130 || MALE       || VAHB931212HSLRRT02
          14 ||    312561 ||           VARGAS ||        RODRIGUEZ ||    CARLOS ||      4 || MALE       || VARC190119HMCRDRB9
          15 ||    308104 ||          SANCHEZ ||          MENDOZA ||   ADRIANA ||     55 || MALE       || SAMA681001HTLNND08
          16 ||    301567 ||            LOPEZ ||          JIMENEZ || ALEJANDRO ||     59 || MALE       || LOJA640131HYNPML01
          17 ||    304554 ||           ROMERO ||          SANCHEZ ||     DIEGO ||     19 || FEMALE   || ROSD040925MSLMNGA9
          18 ||    312546 ||         GONZALEZ ||          JIMENEZ ||    ISABEL ||     69 || MALE       || GOJI540731HGRNMS08
          19 ||    320434 ||           ROMERO ||             CRUZ ||     DIEGO ||     36 || MALE       || ROCD871025HQTMRG03
          20 ||    317069 ||          MENDOZA ||            LOPEZ ||     LUCIA ||     27 || FEMALE   || MELL961226MMSNPC05
          21 ||    329460 ||           MORENO ||         GONZALEZ ||    ANDRES ||    118 || FEMALE   || MOGA050628MBCRNN04
          22 ||    308788 ||          ALVAREZ ||           GARCIA ||     MARIA ||     29 || MALE       || AAGM940505HPLLRR00
          23 ||    300202 ||           GARCIA ||            LOPEZ ||   NATALIA ||     31 || MALE       || GALN921005HNTRPT00
          24 ||    331819 ||          ALVAREZ ||         MARTINEZ ||     JULIA ||     82 || FEMALE   || AAMJ410429MYNLRL06
          25 ||    305791 ||           VARGAS ||        HERNANDEZ ||     CLARA ||    128 || MALE       || VAHC950115HTCRRL02
          26 ||    323859 ||           MORENO ||          ALVAREZ ||    ANDRES ||     84 || MALE       || MOAA391207HBSRLN03
          27 ||    319823 ||           SUAREZ ||           ROMERO || VALENTINA ||     64 || MALE       || SURV591103HNLRML09
          28 ||    307509 ||           MORENO ||        FERNANDEZ ||     MARCO ||     95 || MALE       || MOFM280317HTLRRR00
          29 ||    305710 ||            PEREZ ||            PEREZ ||   BEATRIZ ||    125 || FEMALE   || PEPB980425MSLRRT02
          30 ||    300079 ||           VARGAS ||            PEREZ ||   EDUARDO ||     25 || MALE       || VAPE980910HQTRRD08
          31 ||    305575 ||            LOPEZ ||        FERNANDEZ ||    ISABEL ||     57 || MALE       || LOFI660807HDGPRS09
          32 ||    311503 ||            PEREZ ||          MENDOZA ||    AURORA ||    114 || MALE       || PEMA091108HBSRNR02
          33 ||    316744 ||          MENDOZA ||           ROMERO || ALEJANDRO ||     85 || FEMALE   || MERA380922MCHNML03
          34 ||    324925 ||           SUAREZ ||          MENDOZA ||  CAROLINA ||     48 || FEMALE   || SUMC750525MBSRNR06
          35 ||    317276 ||        HERNANDEZ ||           SUAREZ || VALENTINA ||    128 || MALE       || HESV950723HSLRRL09
          36 ||    301917 ||           SUAREZ ||          MENDOZA ||  PATRICIA ||    122 || MALE       || SUMP010402HCCRNT00
          37 ||    326904 ||         MARTINEZ ||          MENDOZA ||      JOSE ||     50 || FEMALE   || MAMJ730619MYNRNS00
          38 ||    303476 ||          SANCHEZ ||          SANCHEZ ||    RAFAEL ||     97 || MALE       || SASR260625HQTNNF09
          39 ||    307770 ||          JIMENEZ ||             DIAZ ||    DANIEL ||     90 || MALE       || JIDD331022HSRMZN00
          40 ||    310026 ||            PEREZ ||           VARGAS ||   NATALIA ||     53 || MALE       || PEVN701111HDGRRT03
          41 ||    315597 ||           VARGAS ||          RAMIREZ ||    CARLOS ||    125 || FEMALE   || VARC980212MCCRMR08
          42 ||    323089 ||         MARTINEZ ||          MENDOZA ||    CAMILA ||     33 || MALE       || MAMC900502HCHRNM07
