NO. REGISTER || ENROLMENT || FATHER LASTNAME || MOTHER LASTNAME || NAME(S) ||  AGE  ||     GENDER     ||
======================================================================================================================
           1 ||    300383 ||           GARCIA ||             SOTO ||    JOFREY ||         44 ||    MASCULINO ||
           2 ||    300425 ||            LOPEZ ||        CONTRERAS ||     PEDRO ||         26 ||    MASCULINO ||
           3 ||    300429 ||           ACOSTA ||           TORRES || KASSANDRA ||         20 ||     FEMENINO ||
           4 ||    300518 ||            LOPEZ ||            YEPIZ ||      ROSA ||         54 ||     FEMENINO ||
           5 ||    300587 ||           TORRES ||          MORALES ||  CRISTINA ||         43 ||     FEMENINO ||
           6 ||    300620 ||           TORRES ||           ACOSTA ||      ROSA ||         37 ||     FEMENINO ||
           7 ||    300676 ||            NUNEZ ||            LOPEZ ||     REYNA ||         18 ||     FEMENINO ||
           8 ||    300785 ||           TORRES ||            LOPEZ ||    LUPITA ||         21 ||     FEMENINO ||
           9 ||    300809 ||           TORRES ||           GARCIA ||   VEGUETA ||         43 ||    MASCULINO ||
          10 ||    300811 ||           ACOSTA ||           ACOSTA ||  CRISTINA ||         36 ||     FEMENINO ||
          11 ||    300834 ||        CONTRERAS ||            LOPEZ ||     GOHAN ||         28 ||    MASCULINO ||
          12 ||    300856 ||           ACOSTA ||           TORRES || KASSANDRA ||         52 ||     FEMENINO ||
          13 ||    300858 ||            NUNEZ ||            NUNEZ ||   PANFILA ||         53 ||     FEMENINO ||
          14 ||    300941 ||          MORALES ||           ACOSTA ||    JOFREY ||         50 ||    MASCULINO ||
          15 ||    301131 ||        CONTRERAS ||           GARCIA ||     PEDRO ||         24 ||    MASCULINO ||
          16 ||    301145 ||            PEREZ ||            NUNEZ ||     MARIA ||         33 ||     FEMENINO ||
          17 ||    301164 ||          MORALES ||            LOPEZ || KASSANDRA ||         33 ||     FEMENINO ||
          18 ||    301185 ||            PEREZ ||            YEPIZ ||    BRENDA ||         18 ||     FEMENINO ||
          19 ||    301258 ||            LOPEZ ||           TORRES || KASSANDRA ||         48 ||     FEMENINO ||
          20 ||    301423 ||           TORRES ||          MORALES || KASSANDRA ||         37 ||     FEMENINO ||
