NO. REGISTER || ENROLMENT || FATHER LASTNAME || MOTHER LASTNAME || NAME(S) ||  AGE  ||     GENDER     ||
======================================================================================================================
           1 ||    310442 ||             SOTO ||            PEREZ ||     MARIA ||         33 ||     FEMENINO ||
           2 ||    312191 ||        CONTRERAS ||            PEREZ ||      LUNA ||         33 ||     FEMENINO ||
           3 ||    314712 ||        CONTRERAS ||            NUNEZ ||      ROSA ||         28 ||     FEMENINO ||
           4 ||    327078 ||            YEPIZ ||             SOTO ||  CRISTINA ||         35 ||     FEMENINO ||
           5 ||    308622 ||            NUNEZ ||           ACOSTA ||     REYNA ||         22 ||     FEMENINO ||
           6 ||    329090 ||             SOTO ||        CONTRERAS ||     MARIA ||         24 ||     FEMENINO ||
           7 ||    319280 ||            PEREZ ||             SOTO ||    JOFREY ||         37 ||    MASCULINO ||
           8 ||    321612 ||           TORRES ||            NUNEZ ||    JOFREY ||         20 ||    MASCULINO ||
           9 ||    320482 ||            LOPEZ ||            PEREZ ||  KAKAROTO ||         47 ||    MASCULINO ||
          10 ||    305964 ||          MORALES ||          MORALES ||     MARIA ||         34 ||     FEMENINO ||
          11 ||    300383 ||           GARCIA ||             SOTO ||    JOFREY ||         44 ||    MASCULINO ||
          12 ||    300425 ||            LOPEZ ||        CONTRERAS ||     PEDRO ||         26 ||    MASCULINO ||
          13 ||    300429 ||           ACOSTA ||           TORRES || KASSANDRA ||         20 ||     FEMENINO ||
          14 ||    300518 ||            LOPEZ ||            YEPIZ ||      ROSA ||         54 ||     FEMENINO ||
          15 ||    300587 ||           TORRES ||          MORALES ||  CRISTINA ||         43 ||     FEMENINO ||
          16 ||    300620 ||           TORRES ||           ACOSTA ||      ROSA ||         37 ||     FEMENINO ||
          17 ||    300676 ||            NUNEZ ||            LOPEZ ||     REYNA ||         18 ||     FEMENINO ||
          18 ||    300785 ||           TORRES ||            LOPEZ ||    LUPITA ||         21 ||     FEMENINO ||
          19 ||    300809 ||           TORRES ||           GARCIA ||   VEGUETA ||         43 ||    MASCULINO ||
          20 ||    300811 ||           ACOSTA ||           ACOSTA ||  CRISTINA ||         36 ||     FEMENINO ||
          21 ||    300834 ||        CONTRERAS ||            LOPEZ ||     GOHAN ||         28 ||    MASCULINO ||
          22 ||    300856 ||           ACOSTA ||           TORRES || KASSANDRA ||         52 ||     FEMENINO ||
          23 ||    300858 ||            NUNEZ ||            NUNEZ ||   PANFILA ||         53 ||     FEMENINO ||
          24 ||    300941 ||          MORALES ||           ACOSTA ||    JOFREY ||         50 ||    MASCULINO ||
          25 ||    301131 ||        CONTRERAS ||           GARCIA ||     PEDRO ||         24 ||    MASCULINO ||
          26 ||    301145 ||            PEREZ ||            NUNEZ ||     MARIA ||         33 ||     FEMENINO ||
          27 ||    301164 ||          MORALES ||            LOPEZ || KASSANDRA ||         33 ||     FEMENINO ||
          28 ||    301185 ||            PEREZ ||            YEPIZ ||    BRENDA ||         18 ||     FEMENINO ||
          29 ||    301258 ||            LOPEZ ||           TORRES || KASSANDRA ||         48 ||     FEMENINO ||
          30 ||    301423 ||           TORRES ||          MORALES || KASSANDRA ||         37 ||     FEMENINO ||
          31 ||    301430 ||           TORRES ||        CONTRERAS ||     PEDRO ||         30 ||    MASCULINO ||
          32 ||    301469 ||            NUNEZ ||           TORRES ||      LUNA ||         33 ||     FEMENINO ||
          33 ||    301877 ||           ACOSTA ||        CONTRERAS ||      ROSA ||         49 ||     FEMENINO ||
          34 ||    302053 ||           TORRES ||           ACOSTA ||      GOKU ||         28 ||    MASCULINO ||
          35 ||    302187 ||            NUNEZ ||           ACOSTA ||     GOTEM ||         38 ||    MASCULINO ||
          36 ||    302269 ||           TORRES ||          MORALES ||      ROSA ||         28 ||     FEMENINO ||
          37 ||    302376 ||             SOTO ||            LOPEZ ||     GOHAN ||         25 ||    MASCULINO ||
          38 ||    302505 ||          MORALES ||        CONTRERAS ||      ROSA ||         15 ||     FEMENINO ||
          39 ||    302522 ||             SOTO ||        CONTRERAS ||  KAKAROTO ||         40 ||    MASCULINO ||
          40 ||    302532 ||            LOPEZ ||            LOPEZ ||      GOKU ||         15 ||    MASCULINO ||
          41 ||    302724 ||            LOPEZ ||           GARCIA ||   PANFILA ||         47 ||     FEMENINO ||
          42 ||    302898 ||            YEPIZ ||            PEREZ ||     REYNA ||         43 ||     FEMENINO ||
          43 ||    303024 ||            YEPIZ ||             SOTO ||    BRENDA ||         16 ||     FEMENINO ||
          44 ||    303036 ||            YEPIZ ||             SOTO ||      LUNA ||         33 ||     FEMENINO ||
          45 ||    303157 ||        CONTRERAS ||           GARCIA ||  KAKAROTO ||         29 ||    MASCULINO ||
